0:0:0:0:0:0:0:1 - - [10/May/2023:11:39:33 +0900] "GET /step6-action.jsp?name=%ED%99%8D%EC%A4%80%EC%84%9D&food=%EB%AA%A9%EC%82%B4&food=%EC%B0%A8%EB%8F%8C%EB%B0%95%EC%9D%B4&food=%EC%BD%9C%EB%9D%BC HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [10/May/2023:11:39:59 +0900] "GET /step6-action.jsp?name=%ED%99%8D%EC%A4%80%EC%84%9D&food=%EB%AA%A9%EC%82%B4&food=%EC%B0%A8%EB%8F%8C%EB%B0%95%EC%9D%B4&food=%EC%BD%9C%EB%9D%BC HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [10/May/2023:11:40:00 +0900] "GET /step6-action.jsp?name=%ED%99%8D%EC%A4%80%EC%84%9D&food=%EB%AA%A9%EC%82%B4&food=%EC%B0%A8%EB%8F%8C%EB%B0%95%EC%9D%B4&food=%EC%BD%9C%EB%9D%BC HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [10/May/2023:11:40:00 +0900] "GET /step6-action.jsp?name=%ED%99%8D%EC%A4%80%EC%84%9D&food=%EB%AA%A9%EC%82%B4&food=%EC%B0%A8%EB%8F%8C%EB%B0%95%EC%9D%B4&food=%EC%BD%9C%EB%9D%BC HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [10/May/2023:11:40:00 +0900] "GET /step6-action.jsp?name=%ED%99%8D%EC%A4%80%EC%84%9D&food=%EB%AA%A9%EC%82%B4&food=%EC%B0%A8%EB%8F%8C%EB%B0%95%EC%9D%B4&food=%EC%BD%9C%EB%9D%BC HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [10/May/2023:11:40:00 +0900] "GET /step6-action.jsp?name=%ED%99%8D%EC%A4%80%EC%84%9D&food=%EB%AA%A9%EC%82%B4&food=%EC%B0%A8%EB%8F%8C%EB%B0%95%EC%9D%B4&food=%EC%BD%9C%EB%9D%BC HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [10/May/2023:11:40:01 +0900] "GET /step6-action.jsp?name=%ED%99%8D%EC%A4%80%EC%84%9D&food=%EB%AA%A9%EC%82%B4&food=%EC%B0%A8%EB%8F%8C%EB%B0%95%EC%9D%B4&food=%EC%BD%9C%EB%9D%BC HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [10/May/2023:11:40:01 +0900] "GET /step6-action.jsp?name=%ED%99%8D%EC%A4%80%EC%84%9D&food=%EB%AA%A9%EC%82%B4&food=%EC%B0%A8%EB%8F%8C%EB%B0%95%EC%9D%B4&food=%EC%BD%9C%EB%9D%BC HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [10/May/2023:11:40:01 +0900] "GET /step6-action.jsp?name=%ED%99%8D%EC%A4%80%EC%84%9D&food=%EB%AA%A9%EC%82%B4&food=%EC%B0%A8%EB%8F%8C%EB%B0%95%EC%9D%B4&food=%EC%BD%9C%EB%9D%BC HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [10/May/2023:11:40:01 +0900] "GET /step6-action.jsp?name=%ED%99%8D%EC%A4%80%EC%84%9D&food=%EB%AA%A9%EC%82%B4&food=%EC%B0%A8%EB%8F%8C%EB%B0%95%EC%9D%B4&food=%EC%BD%9C%EB%9D%BC HTTP/1.1" 200 188
